mod,nAg,agDen,rRep,rOr,rOrX,rAt,rAtX,exp,cco,iso,piso,avgDeg,avgTotDeg
M,100,0.0004,10,15,1.50X,22,1.50X,321.682753,8,3,0.03,27.38539997,54.77079994
M,100,0.0004,10,15,1.50X,22,1.50X,299.4613139,9,3,0.03,26.82625002,53.65250004
M,100,0.0004,10,15,1.50X,22,1.50X,212.4538271,10,5,0.05,33.41669989,66.83339977
M,100,0.0004,10,15,1.50X,22,1.50X,306.6073114,13,6,0.06,26.60494999,53.20989998
M,100,0.0004,10,15,1.50X,22,1.50X,176.7169584,5,0,0,33.5633,67.1266
M,100,0.0004,10,15,1.50X,22,1.50X,144.0339632,6,2,0.02,34.0005999,68.0011998
M,100,0.0004,10,15,1.50X,22,1.50X,566.5729505,16,7,0.07,20.49249998,40.98499997
M,100,0.0004,10,15,1.50X,22,1.50X,245.712547,8,3,0.03,28.12245004,56.24490007
M,100,0.0004,10,15,1.50X,22,1.50X,192.5583251,9,2,0.02,32.66499993,65.32999987
M,100,0.0004,10,15,1.50X,22,1.50X,226.4858951,7,2,0.02,27.90904995,55.8180999
M,100,0.0004,10,15,1.50X,22,1.50X,237.2169584,7,1,0.01,27.57554995,55.15109989
M,100,0.0004,10,15,1.50X,22,1.50X,180.5754548,6,2,0.02,34.31459996,68.62919992
M,100,0.0004,10,15,1.50X,22,1.50X,221.8055918,7,2,0.02,26.40330004,52.80660007
M,100,0.0004,10,15,1.50X,22,1.50X,185.7493773,5,2,0.02,31.17364993,62.34729986
M,100,0.0004,10,15,1.50X,22,1.50X,528.8632703,8,2,0.02,21.82084997,43.64169994
M,100,0.0004,10,15,1.50X,22,1.50X,112.3783546,8,3,0.03,35.92954998,71.85909996
M,100,0.0004,10,15,1.50X,22,1.50X,350.5564978,11,3,0.03,23.42199998,46.84399997
M,100,0.0004,10,15,1.50X,22,1.50X,210.9220005,8,3,0.03,36.59295001,73.18590002
M,100,0.0004,10,15,1.50X,22,1.50X,419.1365808,7,2,0.02,23.4972,46.99440001
M,100,0.0004,10,15,1.50X,22,1.50X,391.5487044,10,4,0.04,22.92694997,45.85389994
M,100,0.0004,10,15,1.50X,22,1.50X,244.6314138,8,2,0.02,33.28959991,66.57919983
M,100,0.0004,10,15,1.50X,22,1.50X,321.7752416,9,3,0.03,27.28559999,54.57119997
M,100,0.0004,10,15,1.50X,22,1.50X,204.6538841,7,3,0.03,31.49879998,62.99759996
M,100,0.0004,10,15,1.50X,22,1.50X,247.8419827,8,2,0.02,32.63384997,65.26769995
M,100,0.0004,10,15,1.50X,22,1.50X,354.4625467,7,2,0.02,23.72974993,47.45949986
M,100,0.0004,10,15,1.50X,30,2X,305.5309431,7,1,0.01,35.44959994,70.89919989
M,100,0.0004,10,15,1.50X,30,2X,426.3072915,9,3,0.03,32.89049991,65.78099982
M,100,0.0004,10,15,1.50X,30,2X,477.1020371,9,2,0.02,31.18764994,62.37529988
M,100,0.0004,10,15,1.50X,30,2X,72.12199525,6,2,0.02,62.03869978,124.0773996
M,100,0.0004,10,15,1.50X,30,2X,182.7863337,10,4,0.04,45.4301499,90.8602998
M,100,0.0004,10,15,1.50X,30,2X,172.7946777,6,1,0.01,50.64085003,101.2817001
M,100,0.0004,10,15,1.50X,30,2X,205.2234528,5,1,0.01,45.65905008,91.31810017
M,100,0.0004,10,15,1.50X,30,2X,213.8017668,6,1,0.01,51.26424994,102.5284999
M,100,0.0004,10,15,1.50X,30,2X,240.7342698,7,0,0,46.23184977,92.46369953
M,100,0.0004,10,15,1.50X,30,2X,220.2163486,8,1,0.01,43.42979997,86.85959993
M,100,0.0004,10,15,1.50X,30,2X,424.9945643,8,2,0.02,34.03754994,68.07509989
M,100,0.0004,10,15,1.50X,30,2X,444.3798496,9,3,0.03,33.48624996,66.97249992
M,100,0.0004,10,15,1.50X,30,2X,94.98690198,7,3,0.03,57.28899988,114.5779998
M,100,0.0004,10,15,1.50X,30,2X,151.0373343,6,2,0.02,49.60679995,99.21359989
M,100,0.0004,10,15,1.50X,30,2X,241.459717,5,1,0.01,45.8050503,91.61010059
M,100,0.0004,10,15,1.50X,30,2X,178.0245521,8,2,0.02,51.09590017,102.1918003
M,100,0.0004,10,15,1.50X,30,2X,278.4854394,8,1,0.01,42.1615,84.32299999
M,100,0.0004,10,15,1.50X,30,2X,123.4208702,4,0,0,52.42405003,104.8481001
M,100,0.0004,10,15,1.50X,30,2X,134.4995911,6,1,0.01,49.35945013,98.71890026
M,100,0.0004,10,15,1.50X,30,2X,109.6964246,4,1,0.01,56.17925005,112.3585001
M,100,0.0004,10,15,1.50X,30,2X,158.8643787,7,3,0.03,49.56705004,99.13410007
M,100,0.0004,10,15,1.50X,30,2X,463.7234,7,2,0.02,31.07505002,62.15010003
M,100,0.0004,10,15,1.50X,30,2X,176.4623364,5,1,0.01,49.23884996,98.47769993
M,100,0.0004,10,15,1.50X,30,2X,103.8016486,6,2,0.02,54.15985001,108.3197
M,100,0.0004,10,15,1.50X,30,2X,123.027148,5,1,0.01,52.38634983,104.7726997
M,100,0.0004,10,20,2X,30,1.50X,129.0410959,5,2,0.02,53.8079999,107.6159998
M,100,0.0004,10,20,2X,30,1.50X,286.1317381,4,0,0,39.59359997,79.18719994
M,100,0.0004,10,20,2X,30,1.50X,382.9674057,6,2,0.02,38.83684986,77.67369972
M,100,0.0004,10,20,2X,30,1.50X,104.2638836,6,1,0.01,52.77125,105.5425
M,100,0.0004,10,20,2X,30,1.50X,294.1429577,6,1,0.01,39.32819987,78.65639975
M,100,0.0004,10,20,2X,30,1.50X,215.2824107,8,3,0.03,41.38984999,82.77969997
M,100,0.0004,10,20,2X,30,1.50X,124.7523813,5,3,0.03,51.44015001,102.8803
