mod,nAg,nOb,obDen,rRep,rOr,rOrX,rAt,rAtX,str,exp,hullOLD,hull,iso,isoLast,cco,ccoLast,cc,ccLast,vmrLast,degIn,degOut,degTot,avgDeg
M,50,0,0,10,15,1.50X,22,1.50X,45,304.96,73803.89,73.8,1.79,3,3.91,7,0.66,0.67,9.92,7.41,7.41,14.83,7.41
M,50,0,0,10,15,1.50X,22,1.50X,45,471.46,62567.5,62.57,0,0,3.51,6,0.71,0.75,4.8,6.43,6.43,12.87,6.43
M,50,0,0,10,15,1.50X,22,1.50X,45,282.46,39787.84,39.79,0,0,2.98,4,0.7,0.72,9.96,7.98,7.98,15.97,7.98
M,50,0,0,10,15,1.50X,22,1.50X,45,332.88,58485.45,58.49,0,0,2.72,4,0.67,0.63,9,7.51,7.51,15.01,7.51
M,50,0,0,10,15,1.50X,22,1.50X,45,327.71,86956.29,86.96,0.67,1,5.39,9,0.62,0.67,6.08,6.63,6.63,13.26,6.63
M,50,0,0,10,15,1.50X,22,1.50X,45,106.22,11608.59,11.61,0,0,1.45,2,0.64,0.69,23.64,8.58,8.58,17.16,8.58
M,50,0,0,10,15,1.50X,22,1.50X,45,109.21,21569.13,21.57,0,0,1.83,2,0.6,0.57,16.64,9.34,9.34,18.68,9.34
M,50,0,0,10,15,1.50X,22,1.50X,45,407.51,68415.56,68.42,1.3,2,3.76,5,0.66,0.67,9.96,7.55,7.55,15.1,7.55
M,50,0,0,10,15,1.50X,22,1.50X,45,264.74,47847.6,47.85,0.37,1,2.58,4,0.62,0.62,9.76,7.5,7.5,15,7.5
M,50,0,0,10,15,1.50X,22,1.50X,45,298.49,55557.89,55.56,0.81,1,3.64,5,0.67,0.71,9.6,6.46,6.46,12.92,6.46
M,50,0,0,10,15,1.50X,22,1.50X,45,164,15700.32,15.7,0,0,1.9,3,0.64,0.66,16.8,8.11,8.11,16.21,8.11
M,50,0,0,10,15,1.50X,22,1.50X,45,306.27,75963.27,75.96,0,0,3.87,6,0.62,0.63,9.32,7.38,7.38,14.77,7.38
M,50,0,0,10,15,1.50X,22,1.50X,45,218.85,57241.23,57.24,1,1,2.89,5,0.59,0.6,10.24,7.87,7.87,15.74,7.87
M,50,0,0,10,15,1.50X,22,1.50X,45,325.55,38067.88,38.07,0,0,2.59,6,0.68,0.72,7.04,6.99,6.99,13.97,6.99
M,50,0,0,10,15,1.50X,22,1.50X,45,219.21,58065.9,58.07,0.61,1,3.91,5,0.61,0.6,8.12,7.78,7.78,15.56,7.78
M,50,0,0,10,15,1.50X,22,1.50X,45,471.4,67584.57,67.58,0.62,1,5.13,8,0.63,0.63,7.2,6.24,6.24,12.47,6.24
M,50,0,0,10,15,1.50X,22,1.50X,45,263.24,86120.95,86.12,0,0,3.84,6,0.57,0.58,9.68,6.46,6.46,12.92,6.46
M,50,0,0,10,15,1.50X,22,1.50X,45,68.82,14160.1,14.16,0.84,1,1.84,2,0.61,0.59,19,8.48,8.48,16.95,8.48
M,50,0,0,10,15,1.50X,22,1.50X,45,398.99,72618.62,72.62,0.44,1,3.54,6,0.67,0.74,6.2,6.24,6.24,12.49,6.24
M,50,0,0,10,15,1.50X,22,1.50X,45,283.6,27575.97,27.58,0.03,0,2.08,3,0.64,0.68,14.76,7.3,7.3,14.59,7.3
M,50,0,0,10,15,1.50X,22,1.50X,45,147.59,38544.85,38.54,1.33,2,2.96,4,0.63,0.62,11.64,8.07,8.07,16.15,8.07
M,50,0,0,10,15,1.50X,22,1.50X,45,152.3,18556.39,18.56,0.75,1,1.83,3,0.63,0.7,11.36,8.74,8.74,17.48,8.74
M,50,0,0,10,15,1.50X,22,1.50X,45,159.36,51443.08,51.44,0.76,1,2.72,4,0.62,0.62,10.64,9.89,9.89,19.78,9.89
M,50,0,0,10,15,1.50X,22,1.50X,45,219.83,41332.96,41.33,0.65,1,3.8,8,0.56,0.56,8.28,6.71,6.71,13.42,6.71
M,50,0,0,10,15,1.50X,22,1.50X,45,429.93,72783.77,72.78,0.64,1,4.14,6,0.64,0.63,9.72,7.63,7.63,15.26,7.63
M,50,0,0,10,15,1.50X,22,1.50X,90,505.92,77492.18,77.49,0.27,0,4.92,7,0.62,0.63,5.44,5.83,5.83,11.66,5.83
M,50,0,0,10,15,1.50X,22,1.50X,90,586.04,117878.36,117.88,0.98,2,6.88,12,0.65,0.71,3.72,4.83,4.83,9.67,4.83
M,50,0,0,10,15,1.50X,22,1.50X,90,436.44,82147.81,82.15,0,0,3.15,5,0.7,0.74,10.04,6.17,6.17,12.33,6.17
M,50,0,0,10,15,1.50X,22,1.50X,90,458.44,87327.46,87.33,0.72,1,4.9,7,0.65,0.69,6.04,6.18,6.18,12.36,6.18
M,50,0,0,10,15,1.50X,22,1.50X,90,477.58,102255.45,102.26,1.32,2,5.43,8,0.61,0.63,5.56,5.1,5.1,10.21,5.1
M,50,0,0,10,15,1.50X,22,1.50X,90,572.89,102549.41,102.55,0.67,1,6.11,11,0.64,0.68,3.24,5.12,5.12,10.24,5.12
M,50,0,0,10,15,1.50X,22,1.50X,90,243.5,47120.69,47.12,0.53,1,3.33,7,0.59,0.61,10.76,6.88,6.88,13.76,6.88
M,50,0,0,10,15,1.50X,22,1.50X,90,473.26,104852.81,104.85,2.1,3,6.6,10,0.6,0.63,6.6,6.27,6.27,12.55,6.27
M,50,0,0,10,15,1.50X,22,1.50X,90,466.39,95058.7,95.06,0,0,4.72,9,0.62,0.66,7.12,5.8,5.8,11.59,5.8
M,50,0,0,10,15,1.50X,22,1.50X,90,522.89,114778.53,114.78,2.8,4,6.8,10,0.62,0.63,5.12,4.84,4.84,9.69,4.84
M,50,0,0,10,15,1.50X,22,1.50X,90,504.64,84013.97,84.01,0.63,1,4.72,8,0.67,0.73,5.76,6.03,6.03,12.06,6.03
M,50,0,0,10,15,1.50X,22,1.50X,90,360.19,84264.06,84.26,1.25,2,4.62,8,0.61,0.66,5.92,5.67,5.67,11.33,5.67
M,50,0,0,10,15,1.50X,22,1.50X,90,520.37,95427.22,95.43,1.61,2,5.57,9,0.59,0.58,6.04,5.91,5.91,11.82,5.91
M,50,0,0,10,15,1.50X,22,1.50X,90,527.02,109459.02,109.46,1.8,3,5.85,10,0.63,0.62,4.64,5.9,5.9,11.8,5.9
M,50,0,0,10,15,1.50X,22,1.50X,90,448.97,103172.47,103.17,0.6,1,5.49,9,0.66,0.72,4.72,5.4,5.4,10.81,5.4
M,50,0,0,10,15,1.50X,22,1.50X,90,579.64,106277.16,106.28,0,0,4.63,7,0.67,0.71,4.36,5.3,5.3,10.59,5.3
M,50,0,0,10,15,1.50X,22,1.50X,90,556.06,120809.4,120.81,0.7,1,5.91,9,0.55,0.61,5.68,4.88,4.88,9.75,4.88
M,50,0,0,10,15,1.50X,22,1.50X,90,462.57,90318.34,90.32,0.67,1,5.59,8,0.72,0.77,5.8,5.46,5.46,10.91,5.46
M,50,0,0,10,15,1.50X,22,1.50X,90,475.12,91991.24,91.99,0.62,1,5.56,9,0.59,0.57,5.88,5.26,5.26,10.52,5.26
M,50,0,0,10,15,1.50X,22,1.50X,90,568.71,100452.63,100.45,0,0,4.49,7,0.68,0.72,6.12,5.73,5.73,11.46,5.73
M,50,0,0,10,15,1.50X,22,1.50X,90,493.61,75599.49,75.6,0,0,3.59,6,0.64,0.65,7.56,6.54,6.54,13.07,6.54
M,50,0,0,10,15,1.50X,22,1.50X,90,479.18,55944.61,55.94,0.49,1,3.08,5,0.59,0.61,9.4,6.52,6.52,13.03,6.52
M,50,0,0,10,15,1.50X,22,1.50X,90,509.16,103226.29,103.23,1.29,2,5.94,10,0.6,0.57,4.76,6.11,6.11,12.22,6.11
M,50,0,0,10,15,1.50X,22,1.50X,90,558.57,102732.59,102.73,0.72,1,5.69,8,0.65,0.66,4.6,5.41,5.41,10.83,5.41
M,50,0,0,10,15,1.50X,22,1.50X,90,508.42,99512.72,99.51,0.66,1,4.96,8,0.72,0.79,6.76,5.95,5.95,11.9,5.95
M,50,0,0,10,15,1.50X,22,1.50X,135,667.84,122425.58,122.43,2.18,3,7.52,11,0.66,0.67,3.76,4.86,4.86,9.73,4.86
M,50,0,0,10,15,1.50X,22,1.50X,135,600.88,124837.35,124.84,0.58,1,6.6,10,0.65,0.68,4.96,4.35,4.35,8.7,4.35
M,50,0,0,10,15,1.50X,22,1.50X,135,541.02,116990.21,116.99,0.74,1,6.51,11,0.58,0.6,4.2,4.89,4.89,9.78,4.89
M,50,0,0,10,15,1.50X,22,1.50X,135,545.34,119441.61,119.44,1.52,2,7.62,14,0.57,0.52,2.72,4.7,4.7,9.4,4.7
M,50,0,0,10,15,1.50X,22,1.50X,135,501.49,116449.79,116.45,0.8,1,5.78,10,0.55,0.52,5.4,4.31,4.31,8.62,4.31
M,50,0,0,10,15,1.50X,22,1.50X,135,613.7,118683.86,118.68,1.96,3,8.27,14,0.61,0.6,3.24,4.72,4.72,9.45,4.72
M,50,0,0,10,15,1.50X,22,1.50X,135,584.33,125789.67,125.79,1.55,2,7.6,13,0.58,0.67,3.08,4.64,4.64,9.28,4.64
M,50,0,0,10,15,1.50X,22,1.50X,135,529.61,123309.91,123.31,1.43,2,7.35,11,0.57,0.58,4.68,4.51,4.51,9.03,4.51
M,50,0,0,10,15,1.50X,22,1.50X,135,585.38,125269.61,125.27,0.66,1,6.83,11,0.57,0.6,4.12,4.84,4.84,9.67,4.84
M,50,0,0,10,15,1.50X,22,1.50X,135,554.94,119288.19,119.29,1.95,3,7.09,11,0.6,0.63,3.04,4.49,4.49,8.97,4.49
M,50,0,0,10,15,1.50X,22,1.50X,135,603.05,122336.94,122.34,1.13,2,8.09,14,0.48,0.42,4.48,4.46,4.46,8.93,4.46
M,50,0,0,10,15,1.50X,22,1.50X,135,538.78,119589.98,119.59,2.26,4,6.68,11,0.62,0.7,4,4.96,4.96,9.93,4.96
M,50,0,0,10,15,1.50X,22,1.50X,135,605.02,127693.92,127.69,3.99,6,10.4,19,0.49,0.49,2.64,4.03,4.03,8.06,4.03
M,50,0,0,10,15,1.50X,22,1.50X,135,583.58,124039.96,124.04,1.49,2,6.67,9,0.66,0.67,3.56,5.49,5.49,10.98,5.49
M,50,0,0,10,15,1.50X,22,1.50X,135,518.01,122760.36,122.76,1.4,2,6.48,9,0.65,0.7,3.36,4.52,4.52,9.05,4.52
M,50,0,0,10,15,1.50X,22,1.50X,135,626.1,125208.66,125.21,1.95,3,7.62,13,0.63,0.68,3.08,4.51,4.51,9.02,4.51
