mod,nAg,rRep,rOr,rOrX,rAt,rAtX,trial,iso,cco,exp,cc,degIn,degOut,avgDeg,degTot,astk,dirOld,dir,iter,inf,sstk,fda
M,100,10,15,1.50X,22,1.50X,0,6.78,16.89,-37.97,0.62,6.92,6.92,6.92,13.84,73,2.49,0.02,530,0.08,1260,0.5
M,100,10,15,1.50X,22,1.50X,1,7.65,18.13,0.67,0.63,5.92,5.92,5.92,11.83,82,1.16,0.01,1455,0.03,422,0.23
M,100,10,15,1.50X,22,1.50X,10,6.59,20.23,2.94,0.63,5.55,5.55,5.55,11.1,109,1.25,0.01,742,0.04,975,0.18
M,100,10,15,1.50X,22,1.50X,11,6.35,14.14,-6.8,0.62,7.67,7.67,7.67,15.34,41,1.27,0.01,1253,0.07,277,0.52
M,100,10,15,1.50X,22,1.50X,12,6.9,16.42,20.22,0.62,7.29,7.29,7.29,14.58,253,0.76,0.01,622,0.01,1246,0.04
M,100,10,15,1.50X,22,1.50X,13,5.28,15.68,1.37,0.64,7.21,7.21,7.21,14.42,72,1.2,0.01,1168,0.04,333,0.32
M,100,10,15,1.50X,22,1.50X,14,7.27,18.33,-7.07,0.6,6.3,6.3,6.3,12.59,55,1.34,0.01,1288,0.05,370,0.47
M,100,10,15,1.50X,22,1.50X,15,6.01,16.68,21.43,0.63,6.12,6.12,6.12,12.25,94,1.23,0.01,925,0.03,897,0.2
M,100,10,15,1.50X,22,1.50X,16,8.01,20.85,-5.21,0.61,5.03,5.03,5.03,10.06,53,1.46,0.01,783,0.04,544,0.43
M,100,10,15,1.50X,22,1.50X,17,6.33,16.69,-41.58,0.64,7.27,7.27,7.27,14.53,35,1.28,0.01,1150,0.04,468,0.61
M,100,10,15,1.50X,22,1.50X,18,6.32,15.98,-26.13,0.62,7.81,7.81,7.81,15.61,77,0.85,0.01,1224,0.02,309,0.2
M,100,10,15,1.50X,22,1.50X,19,5.79,15.55,-5.85,0.66,6.06,6.06,6.06,12.12,40,1.11,0.01,1260,0.07,223,0.4
M,100,10,15,1.50X,22,1.50X,2,7.84,17.44,-30.71,0.63,6.56,6.56,6.56,13.12,41,0.99,0.01,1263,0.05,391,0.39
M,100,10,15,1.50X,22,1.50X,20,7.99,20.08,4.97,0.6,5.88,5.88,5.88,11.77,57,1.03,0.01,706,0.04,615,0.29
M,100,10,15,1.50X,22,1.50X,21,6.01,14.74,-54.94,0.61,7.28,7.28,7.28,14.56,40,1.66,0.02,874,0.07,330,0.66
M,100,10,15,1.50X,22,1.50X,22,8.82,19.26,-56.2,0.6,6.46,6.46,6.46,12.91,61,0.64,0.01,1293,0.02,508,0.19
M,100,10,15,1.50X,22,1.50X,23,6.59,15.43,-42.54,0.61,8.87,8.87,8.87,17.74,26,0.28,0,1707,0.01,112,0.2
M,100,10,15,1.50X,22,1.50X,24,6.99,16.81,-8.89,0.61,6.5,6.5,6.5,13.01,82,1.64,0.02,601,0.05,1289,0.29
M,100,10,15,1.50X,22,1.50X,3,8.68,16.97,-32.36,0.62,6.58,6.58,6.58,13.15,58,1.14,0.01,789,0.04,1040,0.38
M,100,10,15,1.50X,22,1.50X,4,5.88,15.94,-16.13,0.62,7.22,7.22,7.22,14.43,42,0.51,0.01,1508,0.01,173,0.17
M,100,10,15,1.50X,22,1.50X,5,6.96,18.11,-37.58,0.6,6.53,6.53,6.53,13.07,31,0.31,0,1675,0.01,87,0.17
M,100,10,15,1.50X,22,1.50X,6,7.17,18.07,-16.22,0.63,6.21,6.21,6.21,12.42,29,0.24,0,1868,0.02,89,0.16
M,100,10,15,1.50X,22,1.50X,7,7.85,17.23,-41.06,0.61,6.78,6.78,6.78,13.55,42,0.79,0.01,1372,0.03,336,0.34
M,100,10,15,1.50X,22,1.50X,8,6.96,15.36,-62.88,0.6,10.48,10.48,10.48,20.96,45,1.19,0.01,1272,0.09,497,0.41
M,100,10,15,1.50X,22,1.50X,9,6.34,15.71,-7.42,0.64,6.29,6.29,6.29,12.58,56,1.64,0.02,856,0.05,513,0.5
M,200,10,15,1.50X,22,1.50X,0,5.34,15.09,-18.26,0.64,9.9,9.9,9.9,19.8,32,0.79,0,1551,0.03,215,0.23
M,200,10,15,1.50X,22,1.50X,1,5.67,16.79,-16.25,0.65,10.72,10.72,10.72,21.44,42,1.49,0.01,637,0.04,936,0.33
M,200,10,15,1.50X,22,1.50X,10,5.42,14.77,-60.26,0.64,13.84,13.84,13.84,27.68,39,2.71,0.01,898,0.08,498,0.46
M,200,10,15,1.50X,22,1.50X,11,4.09,18.21,19.1,0.67,8.66,8.66,8.66,17.32,37,0.76,0,1505,0.02,198,0.2
M,200,10,15,1.50X,22,1.50X,12,6.02,17.11,-54.34,0.63,12.93,12.93,12.93,25.87,48,3.01,0.02,208,0.1,780,0.43
M,200,10,15,1.50X,22,1.50X,13,4.7,17.21,-4.59,0.67,9.71,9.71,9.71,19.42,52,1.37,0.01,1056,0.03,627,0.24
M,200,10,15,1.50X,22,1.50X,14,5.89,15.07,-35.76,0.64,12.96,12.96,12.96,25.91,40,2.39,0.01,763,0.07,706,0.49
M,200,10,15,1.50X,22,1.50X,15,6.22,18.82,-18.98,0.64,10.55,10.55,10.55,21.11,58,0.65,0,1163,0.01,566,0.11
M,200,10,15,1.50X,22,1.50X,16,4.51,14.92,-29.29,0.65,10.66,10.66,10.66,21.31,30,0.85,0,1574,0.02,189,0.23
M,200,10,15,1.50X,22,1.50X,17,3.87,15.39,-64.94,0.67,9.15,9.15,9.15,18.29,52,2.11,0.01,1249,0.06,389,0.36
M,200,10,15,1.50X,22,1.50X,18,7.2,18.38,-54.36,0.64,11.5,11.5,11.5,23,63,4.14,0.02,780,0.13,417,0.48
M,200,10,15,1.50X,22,1.50X,19,6.31,16.39,28.98,0.63,13.44,13.44,13.44,26.87,64,0.71,0,814,0.02,780,0.1
