mod,nAg,agDen,obDen,nOb,rRep,rOr,rOrX,rAt,rAtX,config,rea,lat,cc,avgDeg,avgTotDeg
M,100,0.0004,0,0,20,40,2X,60,1.50X,20-40-60,0,1000,0.95097794,88.68919007,177.3783801
M,100,0.0004,0,0,20,40,2X,60,1.50X,20-40-60,0,1000,0.942832217,86.06628017,172.1325603
M,100,0.0004,0,0,20,40,2X,60,1.50X,20-40-60,100,2,0.958045175,89.78623117,179.5724623
M,100,0.0004,0,0,20,40,2X,60,1.50X,20-40-60,0,1000,0.945090179,87.4758702,174.9517404
M,100,0.0004,0,0,20,40,2X,60,1.50X,20-40-60,100,1,0.946479993,88.57002786,177.1400557
M,100,0.0004,0,0,20,40,2X,60,1.50X,20-40-60,100,1,0.946263798,87.51122,175.02244
M,100,0.0004,0,0,20,40,2X,60,1.50X,20-40-60,0,1000,0.947887202,88.29199009,176.5839802
M,100,0.0004,0,0,20,40,2X,60,1.50X,20-40-60,0,1,0.939528902,86.12659996,172.2531999
M,100,0.0004,0,0,20,40,2X,60,1.50X,20-40-60,100,1,0.96264301,91.54525799,183.090516
M,100,0.0004,0,0,20,40,2X,60,1.50X,20-40-60,0,1000,0.939827766,86.50071011,173.0014202
M,100,0.0004,0,0,20,40,2X,60,1.50X,20-40-60,0,1000,0.955186158,89.76053013,179.5210603
M,100,0.0004,0,0,20,40,2X,60,1.50X,20-40-60,0,1000,0.939304806,86.17996002,172.35992
M,100,0.0004,0,0,20,40,2X,60,1.50X,20-40-60,100,1,0.920604705,81.74041984,163.4808397
M,100,0.0004,0,0,20,40,2X,60,1.50X,20-40-60,0,1000,0.947192622,88.19921987,176.3984397
M,100,0.0004,0,0,20,40,2X,60,1.50X,20-40-60,0,1000,0.959463073,91.08178022,182.1635604
M,100,0.0004,0,0,20,40,2X,60,1.50X,20-40-60,100,2,0.958865888,90.52378854,181.0475771
M,100,0.0004,0,0,20,40,2X,60,1.50X,20-40-60,100,1,0.963008283,91.80359993,183.6071999
M,100,0.0004,0,0,20,40,2X,60,1.50X,20-40-60,0,1000,0.955026075,89.89921056,179.7984211
M,100,0.0004,0,0,20,40,2X,60,1.50X,20-40-60,0,1,0.956275138,90.48762004,180.9752401
M,100,0.0004,0,0,20,40,2X,60,1.50X,20-40-60,100,1,0.937810112,85.74869014,171.4973803
M,100,0.0004,0,0,20,40,2X,60,1.50X,20-40-60,0,1000,0.94672332,88.10284021,176.2056804
M,100,0.0004,0,0,20,40,2X,60,1.50X,20-40-60,100,1,0.942385948,86.51555018,173.0311004
M,100,0.0004,0,0,20,40,2X,60,1.50X,20-40-60,100,1,0.955284877,90.09972243,180.1994449
M,100,0.0004,0,0,20,40,2X,60,1.50X,20-40-60,0,1000,0.948663971,88.28619989,176.5723998
M,100,0.0004,0,0,20,40,2X,60,1.50X,20-40-60,100,1,0.96751005,93.09669992,186.1933998
M,100,0.0004,0.1,10,20,40,2X,60,1.50X,20-40-60,99,1000,0.934629109,83.62636013,167.2527203
M,100,0.0004,0.1,10,20,40,2X,60,1.50X,20-40-60,0,1000,0.96913829,93.03535999,186.07072
M,100,0.0004,0.1,10,20,40,2X,60,1.50X,20-40-60,0,1000,0.976435101,94.84849006,189.6969801
M,100,0.0004,0.1,10,20,40,2X,60,1.50X,20-40-60,1,1000,0.969540251,93.70219997,187.4043999
M,100,0.0004,0.1,10,20,40,2X,60,1.50X,20-40-60,0,1000,0.971864142,94.01293005,188.0258601
M,100,0.0004,0.1,10,20,40,2X,60,1.50X,20-40-60,0,1000,0.969805702,93.27032991,186.5406598
M,100,0.0004,0.1,10,20,40,2X,60,1.50X,20-40-60,0,1000,0.955275914,88.62379006,177.2475801
M,100,0.0004,0.1,10,20,40,2X,60,1.50X,20-40-60,0,1000,0.969087073,93.40188007,186.8037601
M,100,0.0004,0.1,10,20,40,2X,60,1.50X,20-40-60,6,1000,0.970431037,86.4209501,172.8419002
M,100,0.0004,0.1,10,20,40,2X,60,1.50X,20-40-60,0,1000,0.972964272,94.26671014,188.5334203
M,100,0.0004,0.1,10,20,40,2X,60,1.50X,20-40-60,0,1000,0.968823108,93.22313999,186.44628
M,100,0.0004,0.1,10,20,40,2X,60,1.50X,20-40-60,13,1000,0.959230868,74.40483937,148.8096787
M,100,0.0004,0.1,10,20,40,2X,60,1.50X,20-40-60,0,1000,0.950392116,85.88230999,171.76462
M,100,0.0004,0.1,10,20,40,2X,60,1.50X,20-40-60,0,1000,0.954734126,90.39813002,180.79626
M,100,0.0004,0.1,10,20,40,2X,60,1.50X,20-40-60,99,1000,0.934507994,84.81302959,169.6260592
M,100,0.0004,0.1,10,20,40,2X,60,1.50X,20-40-60,0,1000,0.976072816,94.82154,189.64308
M,100,0.0004,0.1,10,20,40,2X,60,1.50X,20-40-60,100,1,0.954530003,90.12226991,180.2445398
M,100,0.0004,0.1,10,20,40,2X,60,1.50X,20-40-60,0,1000,0.967554321,93.29451021,186.5890204
M,100,0.0004,0.1,10,20,40,2X,60,1.50X,20-40-60,0,1000,0.972109742,94.09023993,188.1804799
M,100,0.0004,0.1,10,20,40,2X,60,1.50X,20-40-60,0,1000,0.972157435,93.89609974,187.7921995
M,100,0.0004,0.1,10,20,40,2X,60,1.50X,20-40-60,17,1000,0.932249696,69.9906598,139.9813196
M,100,0.0004,0.1,10,20,40,2X,60,1.50X,20-40-60,0,1000,0.968939028,93.42056003,186.8411201
M,100,0.0004,0.1,10,20,40,2X,60,1.50X,20-40-60,0,1000,0.952604617,78.64151017,157.2830203
M,100,0.0004,0.1,10,20,40,2X,60,1.50X,20-40-60,0,1000,0.971639531,93.98625021,187.9725004
M,100,0.0004,0.1,10,20,40,2X,60,1.50X,20-40-60,0,1000,0.967486124,93.23574994,186.4714999
M,100,0.0004,0.2,20,20,40,2X,60,1.50X,20-40-60,0,1000,0.962340149,92.43142001,184.86284
M,100,0.0004,0.2,20,20,40,2X,60,1.50X,20-40-60,0,1000,0.979230073,95.56481013,191.1296203
M,100,0.0004,0.2,20,20,40,2X,60,1.50X,20-40-60,98,1000,0.962997727,92.3510501,184.7021002
M,100,0.0004,0.2,20,20,40,2X,60,1.50X,20-40-60,0,1000,0.968683008,92.83949015,185.6789803
M,100,0.0004,0.2,20,20,40,2X,60,1.50X,20-40-60,100,127,0.944673829,67.74863994,135.4972799
M,100,0.0004,0.2,20,20,40,2X,60,1.50X,20-40-60,0,1000,0.962008912,91.27441006,182.5488201
M,100,0.0004,0.2,20,20,40,2X,60,1.50X,20-40-60,0,1000,0.974174911,94.49787028,188.9957406
M,100,0.0004,0.2,20,20,40,2X,60,1.50X,20-40-60,0,1000,0.952263861,87.26652001,174.53304
M,100,0.0004,0.2,20,20,40,2X,60,1.50X,20-40-60,0,1000,0.973360795,94.36033999,188.72068
M,100,0.0004,0.2,20,20,40,2X,60,1.50X,20-40-60,0,1000,0.952244987,88.38951971,176.7790394
M,100,0.0004,0.2,20,20,40,2X,60,1.50X,20-40-60,0,1000,0.972617849,94.36595996,188.7319199
M,100,0.0004,0.2,20,20,40,2X,60,1.50X,20-40-60,0,1000,0.955346526,89.67474021,179.3494804
M,100,0.0004,0.2,20,20,40,2X,60,1.50X,20-40-60,0,1000,0.974749894,94.50246011,189.0049202
M,100,0.0004,0.2,20,20,40,2X,60,1.50X,20-40-60,0,1000,0.944889335,73.28654999,146.5731
M,100,0.0004,0.2,20,20,40,2X,60,1.50X,20-40-60,0,1000,0.972329223,94.17146992,188.3429398
M,100,0.0004,0.2,20,20,40,2X,60,1.50X,20-40-60,0,1000,0.969818476,91.77380014,183.5476003
M,100,0.0004,0.2,20,20,40,2X,60,1.50X,20-40-60,0,1000,0.968194222,93.23946005,186.4789201
M,100,0.0004,0.2,20,20,40,2X,60,1.50X,20-40-60,0,1000,0.9722793,93.82377,187.64754
M,100,0.0004,0.2,20,20,40,2X,60,1.50X,20-40-60,0,1000,0.965753051,92.95014993,185.9002999
M,100,0.0004,0.2,20,20,40,2X,60,1.50X,20-40-60,0,1000,0.963119245,92.22244996,184.4448999
M,100,0.0004,0.2,20,20,40,2X,60,1.50X,20-40-60,0,1000,0.961533702,86.02672002,172.05344
M,100,0.0004,0.2,20,20,40,2X,60,1.50X,20-40-60,0,1000,0.971251447,93.77874006,187.5574801
M,100,0.0004,0.2,20,20,40,2X,60,1.50X,20-40-60,0,1000,0.968912758,93.4091796,186.8183592
M,100,0.0004,0.2,20,20,40,2X,60,1.50X,20-40-60,0,1000,0.9569307,90.33124018,180.6624804
M,100,0.0004,0.2,20,20,40,2X,60,1.50X,20-40-60,96,330,0.97115687,89.09984934,178.1996987
M,200,0.0008,0,0,20,40,2X,60,1.50X,20-40-60,100,4,0.904756129,153.4201574,306.8403148
M,200,0.0008,0,0,20,40,2X,60,1.50X,20-40-60,100,4,0.915286729,155.222481,310.444962
M,200,0.0008,0,0,20,40,2X,60,1.50X,20-40-60,100,4,0.911590937,156.5573086,313.1146172
M,200,0.0008,0,0,20,40,2X,60,1.50X,20-40-60,100,4,0.911744678,156.0363308,312.0726617
M,200,0.0008,0,0,20,40,2X,60,1.50X,20-40-60,0.5,1000,0.932777443,157.9850249,315.9700497
M,200,0.0008,0,0,20,40,2X,60,1.50X,20-40-60,100,4,0.91679111,157.4290029,314.8580059
M,200,0.0008,0,0,20,40,2X,60,1.50X,20-40-60,100,478,0.918524485,135.6974997,271.3949994
M,200,0.0008,0,0,20,40,2X,60,1.50X,20-40-60,100,4,0.913163013,155.822199,311.644398
M,200,0.0008,0,0,20,40,2X,60,1.50X,20-40-60,100,4,0.90877706,154.9476665,309.8953331
M,200,0.0008,0,0,20,40,2X,60,1.50X,20-40-60,100,4,0.913593192,156.8417504,313.6835009
M,200,0.0008,0,0,20,40,2X,60,1.50X,20-40-60,100,4,0.921580997,157.5731618,315.1463237
M,200,0.0008,0,0,20,40,2X,60,1.50X,20-40-60,100,4,0.907636353,155.0808214,310.1616427
M,200,0.0008,0,0,20,40,2X,60,1.50X,20-40-60,100,5,0.908656807,155.8390254,311.6780508
M,200,0.0008,0,0,20,40,2X,60,1.50X,20-40-60,100,4,0.917657123,157.1036913,314.2073826
M,200,0.0008,0,0,20,40,2X,60,1.50X,20-40-60,100,5,0.908160621,155.0748085,310.1496171
M,200,0.0008,0,0,20,40,2X,60,1.50X,20-40-60,100,3,0.925024412,156.7784486,313.5568971
M,200,0.0008,0,0,20,40,2X,60,1.50X,20-40-60,100,1,0.892570918,129.463927,258.9278541
M,200,0.0008,0,0,20,40,2X,60,1.50X,20-40-60,100,1,0.937655047,165.7141566,331.4283133
M,200,0.0008,0,0,20,40,2X,60,1.50X,20-40-60,100,4,0.907956719,155.575381,311.150762
M,200,0.0008,0,0,20,40,2X,60,1.50X,20-40-60,100,4,0.913435661,155.9112521,311.8225042
M,200,0.0008,0,0,20,40,2X,60,1.50X,20-40-60,100,4,0.912394629,155.148045,310.2960899
M,200,0.0008,0,0,20,40,2X,60,1.50X,20-40-60,100,4,0.911169258,156.1241779,312.2483559
M,200,0.0008,0,0,20,40,2X,60,1.50X,20-40-60,100,4,0.912264335,157.7133394,315.4266787
M,200,0.0008,0,0,20,40,2X,60,1.50X,20-40-60,95,1000,0.928781807,143.9433969,287.8867938
M,200,0.0008,0,0,20,40,2X,60,1.50X,20-40-60,100,4,0.917338595,156.3253264,312.6506527
M,200,0.0008,0.1,20,20,40,2X,60,1.50X,20-40-60,0,1000,0.960322795,181.58331,363.1666199
M,200,0.0008,0.1,20,20,40,2X,60,1.50X,20-40-60,98.5,249,0.967448827,180.0771463,360.1542926
M,200,0.0008,0.1,20,20,40,2X,60,1.50X,20-40-60,100,163,0.962905652,183.9628103,367.9256205
M,200,0.0008,0.1,20,20,40,2X,60,1.50X,20-40-60,0,1000,0.958935854,181.4863002,362.9726003
M,200,0.0008,0.1,20,20,40,2X,60,1.50X,20-40-60,0,1000,0.94235169,165.0556551,330.1113102
M,200,0.0008,0.1,20,20,40,2X,60,1.50X,20-40-60,0,1000,0.952861247,173.893105,347.7862099
M,200,0.0008,0.1,20,20,40,2X,60,1.50X,20-40-60,0,1000,0.958657854,182.01931,364.03862
M,200,0.0008,0.1,20,20,40,2X,60,1.50X,20-40-60,0,1000,0.948643671,171.9673905,343.9347809
M,200,0.0008,0.1,20,20,40,2X,60,1.50X,20-40-60,2,1000,0.951895495,173.54315,347.0863
M,200,0.0008,0.1,20,20,40,2X,60,1.50X,20-40-60,99.5,1000,0.927883207,170.5885112,341.1770224
M,200,0.0008,0.1,20,20,40,2X,60,1.50X,20-40-60,100,1,0.922123447,150.6335852,301.2671704
