mod,nAg,nOb,rRep,rOr,rOrX,rAt,rAtX,gr,inf,infnew,fouOLD,fou,dist,infneiOLD,infnei,infcom,exp,iso,isoLast,cco,ccoLast,cc,ccLast,degIn,degOut,degTot,avgDeg
M,50,0,10,15,1.50X,22,1.50X,4,8,0.16,47,94,411.06,27.05,0.54,2.65,-34.35,1.64,0,4.9,3,0.68,0.73,8.26,8.26,16.52,8.26
V,50,0,10,20,2X,30,1.50X,2,16,0.32,48,96,375.91,40.35,0.81,1,-66.83,0.41,1,1.56,2,0.41,0.38,9.15,9.15,18.31,9.15
V,50,0,10,20,2X,40,2X,2,16,0.32,48,96,375.91,40.35,0.81,1,-66.83,0.41,1,1.56,2,0.41,0.38,9.15,9.15,18.31,9.15
V,50,0,10,15,1.50X,22,1.50X,2,8,0.16,48,96,369.89,32.7,0.65,1,-31.61,0.91,0,2,1,0.4,0.38,9.04,9.04,18.08,9.04
V,50,0,10,15,1.50X,30,2X,2,8,0.16,48,96,369.89,32.7,0.65,1,-31.61,0.91,0,2,1,0.4,0.38,9.04,9.04,18.08,9.04
T7,50,0,10,15,1.50X,22,1.50X,4,8,0.16,39,78,356.52,17.03,0.34,2.3,-0.25,0,0,3.53,2,0.81,0.7,7,7,14,7
T7,50,0,10,15,1.50X,30,2X,4,8,0.16,39,78,356.52,17.03,0.34,2.3,-0.25,0,0,3.53,2,0.81,0.7,7,7,14,7
M,100,0,20,40,2X,80,2X,4,8,0.08,75,75,354.86,98.66,0.99,2.18,-15.23,0,0,2.18,2,0.85,0.85,33.79,33.79,67.59,33.79
M,200,0,10,15,1.50X,22,1.50X,4,24,0.12,196,98,354.05,175.74,0.88,2.08,-58.44,0,0,3.57,3,0.64,0.66,18,18,35.99,18
M,50,0,20,40,2X,60,1.50X,4,8,0.16,36,72,340.89,40.26,0.81,2.68,-7.71,0,0,2.68,2,0.84,0.82,12.71,12.71,25.43,12.71
T7,50,0,10,20,2X,30,1.50X,2,8,0.16,25,50,339.37,36.44,0.73,2.8,68.38,0,0,2.8,3,0.67,0.69,7,7,14,7
T7,50,0,10,20,2X,40,2X,2,8,0.16,25,50,339.37,36.44,0.73,2.8,68.38,0,0,2.8,3,0.67,0.69,7,7,14,7
M,50,0,20,30,1.50X,60,2X,4,8,0.16,39,78,327.38,36.88,0.74,1.61,-3.15,0.15,0,2.5,2,0.82,0.83,14.08,14.08,28.16,14.08
T7,100,0,20,40,2X,60,1.50X,2,8,0.08,85,85,325.79,43.64,0.44,1.17,-14.51,0,0,1.88,2,0.57,0.52,7,7,14,7
T7,100,0,20,40,2X,80,2X,2,8,0.08,85,85,325.79,43.64,0.44,1.17,-14.51,0,0,1.88,2,0.57,0.52,7,7,14,7
T7,50,0,10,15,1.50X,22,1.50X,2,24,0.48,33,66,320.91,41.99,0.84,1.76,77.2,0,0,1.76,2,0.63,0.64,7,7,14,7
T7,50,0,10,15,1.50X,30,2X,2,24,0.48,33,66,320.91,41.99,0.84,1.76,77.2,0,0,1.76,2,0.63,0.64,7,7,14,7
T7,100,0,10,20,2X,30,1.50X,4,24,0.24,79,79,320.31,90.95,0.91,2.75,-32.41,0,0,2.75,2,0.59,0.53,7,7,14,7
T7,100,0,10,20,2X,40,2X,4,24,0.24,79,79,320.31,90.95,0.91,2.75,-32.41,0,0,2.75,2,0.59,0.53,7,7,14,7
M,50,0,20,30,1.50X,45,1.50X,2,24,0.48,46,92,319.29,47.13,0.94,1.09,0.07,0,0,1.61,2,0.69,0.69,12.18,12.18,24.36,12.18
M,50,0,10,15,1.50X,30,2X,4,8,0.16,37,74,317.22,26.13,0.52,2.77,5.73,0.16,0,4.25,2,0.85,0.81,8.76,8.76,17.52,8.76
V,200,0,10,15,1.50X,22,1.50X,4,16,0.08,198,99,316.82,172.96,0.86,1,-69.21,0.11,0,1.11,1,0.36,0.34,12.15,12.15,24.3,12.15
V,200,0,10,15,1.50X,30,2X,4,16,0.08,198,99,316.82,172.96,0.86,1,-69.21,0.11,0,1.11,1,0.36,0.34,12.15,12.15,24.3,12.15
V,50,0,20,30,1.50X,45,1.50X,2,8,0.16,48,96,315.17,31.32,0.63,1,-33.16,0.54,0,1.85,1,0.43,0.42,9.23,9.23,18.46,9.23
V,50,0,20,30,1.50X,60,2X,2,8,0.16,48,96,315.17,31.32,0.63,1,-33.16,0.54,0,1.85,1,0.43,0.42,9.23,9.23,18.46,9.23
T7,50,0,20,30,1.50X,45,1.50X,4,8,0.16,42,84,313.46,30.45,0.61,1.66,-26.5,0,0,2.43,2,0.7,0.63,7,7,14,7
T7,50,0,20,30,1.50X,60,2X,4,8,0.16,42,84,313.46,30.45,0.61,1.66,-26.5,0,0,2.43,2,0.7,0.63,7,7,14,7
T7,50,0,10,15,1.50X,22,1.50X,4,8,0.16,26,52,307.71,22.33,0.45,3.1,23.28,0,0,3.79,3,0.79,0.76,7,7,14,7
T7,50,0,10,15,1.50X,30,2X,4,8,0.16,26,52,307.71,22.33,0.45,3.1,23.28,0,0,3.79,3,0.79,0.76,7,7,14,7
T7,50,0,10,15,1.50X,22,1.50X,4,24,0.48,41,82,307.46,39.53,0.79,1.96,-47.53,0,0,2.66,2,0.71,0.65,7,7,14,7
T7,50,0,10,15,1.50X,30,2X,4,24,0.48,41,82,307.46,39.53,0.79,1.96,-47.53,0,0,2.66,2,0.71,0.65,7,7,14,7
M,200,0,20,30,1.50X,60,2X,2,16,0.08,178,89,306.76,197.79,0.99,1.75,-8.61,0,0,1.75,2,0.71,0.75,41.49,41.49,82.98,41.49
T7,50,0,10,20,2X,30,1.50X,2,8,0.16,7,14,305.44,29.99,0.6,1.94,62.98,0,0,1.94,2,0.7,0.69,7,7,14,7
T7,50,0,10,20,2X,40,2X,2,8,0.16,7,14,305.44,29.99,0.6,1.94,62.98,0,0,1.94,2,0.7,0.69,7,7,14,7
M,50,0,20,30,1.50X,60,2X,4,8,0.16,35,70,305.28,36.21,0.72,2.59,-0.96,0,0,2.59,2,0.82,0.78,11.08,11.08,22.17,11.08
T7,50,0,10,15,1.50X,22,1.50X,2,8,0.16,41,82,304.01,21.89,0.44,1.86,56.86,0,0,2.83,3,0.72,0.76,7,7,14,7
T7,50,0,10,15,1.50X,30,2X,2,8,0.16,41,82,304.01,21.89,0.44,1.86,56.86,0,0,2.83,3,0.72,0.76,7,7,14,7
M,100,0,10,20,2X,40,2X,4,8,0.08,76,76,300.54,90.77,0.91,3.33,-5.45,0.32,0,3.33,3,0.86,0.86,25.15,25.15,50.29,25.15
T7,50,0,10,15,1.50X,22,1.50X,1,8,0.16,15,30,300.43,26.67,0.53,1.82,445.29,0,0,3.07,4,0.74,0.79,7,7,14,7
T7,50,0,10,15,1.50X,30,2X,1,8,0.16,15,30,300.43,26.67,0.53,1.82,445.29,0,0,3.07,4,0.74,0.79,7,7,14,7
